year,make,model,status,pdf_year
2000,AM General,Hummer,missing,
2001,AM General,Hummer,missing,
2001,Acura,CL,missing,
2002,Acura,CL,missing,
2003,Acura,CL,missing,
2013,Acura,ILX,missing,
2014,Acura,ILX,missing,
2015,Acura,ILX,missing,
2016,Acura,ILX,missing,
2017,Acura,ILX,missing,
2018,Acura,ILX,missing,
2019,Acura,ILX,missing,
2020,Acura,ILX,missing,
2013,Acura,ILX Hybrid,missing,
2014,Acura,ILX Hybrid,missing,
2000,Acura,Integra,missing,
2001,Acura,Integra,missing,
2001,Acura,MDX,missing,
2002,Acura,MDX,missing,
2003,Acura,MDX,missing,
2004,Acura,MDX,missing,
2005,Acura,MDX,missing,
2006,Acura,MDX,missing,
2007,Acura,MDX,missing,
2026,Acura,MDX,missing,
2017,Acura,MDX Sport Hybrid,missing,
2018,Acura,MDX Sport Hybrid,missing,
2019,Acura,MDX Sport Hybrid,missing,
2020,Acura,MDX Sport Hybrid,missing,
2000,Acura,NSX,missing,
2001,Acura,NSX,missing,
2017,Acura,NSX,missing,
2018,Acura,NSX,missing,
2019,Acura,NSX,missing,
2020,Acura,NSX,missing,
2021,Acura,NSX,missing,
2022,Acura,NSX,missing,
2000,Acura,NSX T,missing,
2001,Acura,NSX T,missing,
2002,Acura,NSX T,missing,
2003,Acura,NSX T,missing,
2004,Acura,NSX T,missing,
2005,Acura,NSX T,missing,
2000,Acura,RL,missing,
2001,Acura,RL,missing,
2002,Acura,RL,missing,
2003,Acura,RL,missing,
2004,Acura,RL,missing,
2005,Acura,RL,missing,
2006,Acura,RL,missing,
2007,Acura,RL,missing,
2008,Acura,RL,missing,
2009,Acura,RL,missing,
2010,Acura,RL,missing,
2011,Acura,RL,missing,
2012,Acura,RL,missing,
2014,Acura,RLX,missing,
2014,Acura,RLX Sport Hybrid,missing,
2016,Acura,RLX Sport Hybrid,missing,
2017,Acura,RLX Sport Hybrid,missing,
2018,Acura,RLX Sport Hybrid,missing,
2019,Acura,RLX Sport Hybrid,missing,
2020,Acura,RLX Sport Hybrid,missing,
2002,Acura,RSX,missing,
2003,Acura,RSX,missing,
2004,Acura,RSX,missing,
2005,Acura,RSX,missing,
2006,Acura,RSX,missing,
2000,Acura,TL,missing,
2001,Acura,TL,missing,
2002,Acura,TL,missing,
2003,Acura,TL,missing,
2004,Acura,TL,missing,
2005,Acura,TL,missing,
2006,Acura,TL,missing,
2007,Acura,TL,missing,
2008,Acura,TL,missing,
2009,Acura,TL,missing,
2010,Acura,TL,missing,
2011,Acura,TL,missing,
2012,Acura,TL,missing,
2013,Acura,TL,missing,
2014,Acura,TL,missing,
2004,Acura,TSX,missing,
2005,Acura,TSX,missing,
2006,Acura,TSX,missing,
2007,Acura,TSX,missing,
2008,Acura,TSX,missing,
2009,Acura,TSX,missing,
2010,Acura,TSX,missing,
2011,Acura,TSX,missing,
2012,Acura,TSX,missing,
2013,Acura,TSX,missing,
2014,Acura,TSX,missing,
2010,Acura,ZDX,missing,
2011,Acura,ZDX,missing,
2012,Acura,ZDX,missing,
2013,Acura,ZDX,missing,
2024,Acura,ZDX,missing,
2015,Alfa Romeo,4C Spider,missing,
2016,Alfa Romeo,4C Spider,missing,
2018,Alfa Romeo,4C Spider,missing,
2019,Alfa Romeo,4C Spider,missing,
2020,Alfa Romeo,4C Spider,missing,
2002,Aston Martin,DB7 Vantage,missing,
2003,Aston Martin,DB7 Vantage,missing,
2005,Aston Martin,DB9,missing,
2006,Aston Martin,DB9,missing,
2007,Aston Martin,DB9,missing,
2008,Aston Martin,DB9,missing,
2009,Aston Martin,DB9,missing,
2010,Aston Martin,DB9,missing,
2011,Aston Martin,DB9,missing,
2012,Aston Martin,DB9,missing,
2013,Aston Martin,DB9,missing,
2014,Aston Martin,DB9,missing,
2015,Aston Martin,DB9,missing,
2016,Aston Martin,DB9,missing,
2008,Aston Martin,DBS,missing,
2009,Aston Martin,DBS,missing,
2010,Aston Martin,DBS,missing,
2011,Aston Martin,DBS,missing,
2012,Aston Martin,DBS,missing,
2019,Aston Martin,DBS,missing,
2020,Aston Martin,DBS,missing,
2021,Aston Martin,DBS,missing,
2022,Aston Martin,DBS,missing,
2023,Aston Martin,DBS,missing,
2021,Aston Martin,DBX,missing,
2022,Aston Martin,DBX,missing,
2023,Aston Martin,DBX,missing,
2024,Aston Martin,DBX,missing,
2025,Aston Martin,DBX,missing,
2017,Aston Martin,Db11,missing,
2018,Aston Martin,Db11,missing,
2019,Aston Martin,Db11,missing,
2020,Aston Martin,Db11,missing,
2021,Aston Martin,Db11,missing,
2022,Aston Martin,Db11,missing,
2023,Aston Martin,Db11,missing,
2024,Aston Martin,Db12,missing,
2025,Aston Martin,Db12,missing,
2010,Aston Martin,Rapide,missing,
2011,Aston Martin,Rapide,missing,
2012,Aston Martin,Rapide,missing,
2013,Aston Martin,Rapide,missing,
2019,Aston Martin,Rapide,missing,
2014,Aston Martin,Rapide S,missing,
2015,Aston Martin,Rapide S,missing,
2016,Aston Martin,Rapide S,missing,
2017,Aston Martin,Rapide S,missing,
2011,Aston Martin,V12 Vantage,missing,
2012,Aston Martin,V12 Vantage,missing,
2013,Aston Martin,V12 Vantage,missing,
2015,Aston Martin,V12 Vantage S,missing,
2016,Aston Martin,V12 Vantage S,missing,
2017,Aston Martin,V12 Vantage S,missing,
2006,Aston Martin,V8 Vantage,missing,
2007,Aston Martin,V8 Vantage,missing,
2008,Aston Martin,V8 Vantage,missing,
2009,Aston Martin,V8 Vantage,missing,
2010,Aston Martin,V8 Vantage,missing,
2011,Aston Martin,V8 Vantage,missing,
2012,Aston Martin,V8 Vantage,missing,
2013,Aston Martin,V8 Vantage,missing,
2014,Aston Martin,V8 Vantage,missing,
2015,Aston Martin,V8 Vantage,missing,
2016,Aston Martin,V8 Vantage,missing,
2011,Aston Martin,V8 Vantage S,missing,
2012,Aston Martin,V8 Vantage S,missing,
2013,Aston Martin,V8 Vantage S,missing,
2014,Aston Martin,V8 Vantage S,missing,
2015,Aston Martin,V8 Vantage S,missing,
2016,Aston Martin,V8 Vantage S,missing,
2003,Aston Martin,Vanquish,missing,
2004,Aston Martin,Vanquish,missing,
2005,Aston Martin,Vanquish,missing,
2006,Aston Martin,Vanquish,missing,
2014,Aston Martin,Vanquish,missing,
2015,Aston Martin,Vanquish,missing,
2016,Aston Martin,Vanquish,missing,
2017,Aston Martin,Vanquish,missing,
2018,Aston Martin,Vanquish,missing,
2019,Aston Martin,Vanquish,missing,
2019,Aston Martin,Vantage,missing,
2020,Aston Martin,Vantage,missing,
2021,Aston Martin,Vantage,missing,
2022,Aston Martin,Vantage,missing,
2023,Aston Martin,Vantage,missing,
2025,Aston Martin,Vantage,missing,
2015,Aston Martin,Vantage GT,missing,
2016,Aston Martin,Vantage GT,missing,
2012,Aston Martin,Virage,missing,
2006,Audi,A3,missing,
2007,Audi,A3,missing,
2013,Audi,A3,missing,
2017,Audi,A3,missing,
2018,Audi,A3,missing,
2019,Audi,A3,missing,
2016,Audi,A3 E Tron,missing,
2017,Audi,A3 E Tron,missing,
2018,Audi,A3 E Tron,missing,
2000,Audi,A4,missing,
2001,Audi,A4,missing,
2002,Audi,A4,missing,
2003,Audi,A4,missing,
2004,Audi,A4,missing,
2005,Audi,A4,missing,
2006,Audi,A4,missing,
2007,Audi,A4,missing,
2017,Audi,A4 Allroad,missing,
2018,Audi,A4 Allroad,missing,
2019,Audi,A4 Allroad,missing,
2020,Audi,A4 Allroad,missing,
2021,Audi,A4 Allroad,missing,
2022,Audi,A4 Allroad,missing,
2023,Audi,A4 Allroad,missing,
2024,Audi,A4 Allroad,missing,
2025,Audi,A4 Allroad,missing,
2025,Audi,A4 Sedan,missing,
2008,Audi,A5,missing,
2009,Audi,A5,missing,
2010,Audi,A5,missing,
2011,Audi,A5,missing,
2012,Audi,A5,missing,
2025,Audi,A5 Coupe,missing,
2025,Audi,A5 Sportback,missing,
2000,Audi,A6,missing,
2001,Audi,A6,missing,
2002,Audi,A6,missing,
2003,Audi,A6,missing,
2004,Audi,A6,missing,
2005,Audi,A6,missing,
2006,Audi,A6,missing,
2007,Audi,A6,missing,
2008,Audi,A6,missing,
2009,Audi,A6,missing,
2010,Audi,A6,missing,
2020,Audi,A6 Allroad,missing,
2021,Audi,A6 Allroad,missing,
2022,Audi,A6 Allroad,missing,
2023,Audi,A6 Allroad,missing,
2024,Audi,A6 Allroad,missing,
2025,Audi,A6 Allroad,missing,
2025,Audi,A6 Sedan,missing,
2021,Audi,A7 E,missing,
2022,Audi,A7 E,missing,
2000,Audi,A8,missing,
2001,Audi,A8,missing,
2002,Audi,A8,missing,
2003,Audi,A8,missing,
2004,Audi,A8,missing,
2005,Audi,A8,missing,
2006,Audi,A8,missing,
2007,Audi,A8,missing,
2008,Audi,A8,missing,
2009,Audi,A8,missing,
2010,Audi,A8,missing,
2011,Audi,A8,missing,
2012,Audi,A8,missing,
2013,Audi,A8,missing,
2014,Audi,A8,missing,
2015,Audi,A8,missing,
2016,Audi,A8,missing,
2017,Audi,A8,missing,
2018,Audi,A8,missing,
2019,Audi,A8,missing,
2020,Audi,A8,missing,
2021,Audi,A8,missing,
2022,Audi,A8,missing,
2023,Audi,A8,missing,
2024,Audi,A8,missing,
2025,Audi,A8,missing,
2020,Audi,A8 E,missing,
2021,Audi,A8 E,missing,
2003,Audi,Allroad,missing,
2004,Audi,Allroad,missing,
2005,Audi,Allroad,missing,
2013,Audi,Allroad,missing,
2014,Audi,Allroad,missing,
2015,Audi,Allroad,missing,
2016,Audi,Allroad,missing,
2019,Audi,E Tron,missing,
2020,Audi,E Tron,missing,
2021,Audi,E Tron,missing,
2022,Audi,E Tron,missing,
2023,Audi,E Tron,missing,
2022,Audi,E Tron S,missing,
2023,Audi,E Tron S,missing,
2022,Audi,Q4 E Tron,missing,
2023,Audi,Q4 E Tron,missing,
2024,Audi,Q4 E Tron,missing,
2025,Audi,Q4 E Tron,missing,
2025,Audi,Q4 E Tron Sportback,missing,
2020,Audi,Q5 E,missing,
2021,Audi,Q5 E,missing,
2022,Audi,Q5 E,missing,
2023,Audi,Q5 E,missing,
2024,Audi,Q5 E,missing,
2013,Audi,Q5 Hybrid,missing,
2014,Audi,Q5 Hybrid,missing,
2015,Audi,Q5 Hybrid,missing,
2016,Audi,Q5 Hybrid,missing,
2025,Audi,Q5 Sportback,missing,
2025,Audi,Q6 E Tron,missing,
2007,Audi,Q7,missing,
2025,Audi,Q8,missing,
2024,Audi,Q8 E Tron,missing,
2025,Audi,Q8 E Tron,missing,
2025,Audi,Q8 E Tron Sportback,missing,
2008,Audi,R8,missing,
2009,Audi,R8,missing,
2010,Audi,R8,missing,
2011,Audi,R8,missing,
2012,Audi,R8,missing,
2014,Audi,R8,missing,
2015,Audi,R8,missing,
2017,Audi,R8,missing,
2018,Audi,R8,missing,
2020,Audi,R8,missing,
2021,Audi,R8,missing,
2022,Audi,R8,missing,
2023,Audi,R8,missing,
2017,Audi,RS 3,missing,
2018,Audi,RS 3,missing,
2019,Audi,RS 3,missing,
2020,Audi,RS 3,missing,
2022,Audi,RS 3,missing,
2023,Audi,RS 3,missing,
